li_0grow_tmp,li_123_tmp,li_1grow_tmp,li_1up_tmp,li_2grow_tmp,li_2up_tmp,li_3grow_tmp,li_3up_tmp,li_4grow_tmp,li_4up_tmp,li_5grow_tmp,li_5up_tmp
-0.035573123,-0.06147541,0.016,0.024590164,-0.003952569,-0.003937008,-0.033962264,0.051587302,-0.029304029,0.06640625,-0.093333333,0.132075472
-0.070110701,0.084656085,0.362694301,-0.234126984,-0.133448873,1.19391635,-0.05,0.2,-0.019512195,0.078947368,-0.048136646,0.067993367
-0.009009009,0.045454586,0.036923077,-0.015151515,-0.063583703,0.026706172,-0.025495694,0.089506106,-0.105128154,0.133720864,-0.010335917,0.108882458
-0.020134228,-0.004109589,0.006802721,0.006849315,-0.020134228,0.006756757,-0.013422819,0.020547945,-0.050955414,0.068027211,0,0.053691275
-0.050955414,-0.013422819,0,0.053691275,-0.025477707,0,0,0.026143791,-0.01242236,0.025477707,-0.00621118,0.012578616
-0.015748031,0.010666667,0.007751938,0.032,0,0,0,0.015384615,-0.022727273,0,-0.007462687,0.03875969
0,-0.020512821,0,0.015384615,-0.022727273,0,-0.007462687,0.03875969,-0.035460993,0.060150376,-0.054421769,0.080882353
-0.008196721,0.011019284,0.008196721,0.008264463,-0.03125,0.040650407,-0.023076923,0.048387097,-0.02238806,0.05511811,-0.028985507,0.053435115
-0.006944444,-1.24E-16,0.004195804,0,0,0.009749304,-0.013793103,0,-0.033557047,0.041958042,0,0.020833333
-0.066176471,0.007874016,0.014925373,0.05511811,-0.075862069,0.066176471,-0.039735099,0.126865672,0,0.048275862,-0.02960103,0.022368421
-0.039735099,-0.087356322,0,0.048275862,-0.02960103,0.022368421,-0.025157233,0.054376658,-0.004962779,0.04,-0.007398274,0.011221945
-0.042437432,0.034090909,0.02247191,0.011363636,-0.052083333,0.054945055,-0.035643564,0.10989011,-0.204724409,0.303901437,-0.035087719,0.128712871
-0.021276596,0.007246377,0.02173913,0,0,0,0,0.021276596,-0.020833333,0,-0.020408163,0.042553191
0,-0.021276596,0,0.021276596,-0.020833333,0,-0.020408163,0.042553191,-0.057692308,0.083333333,0,0.040816327
0,-0.063926941,0.013333333,0.02739726,-0.025974026,0.013157895,0,0.026666667,-0.025316456,0.025974026,-0.018404908,0.058441558
-0.038461538,0.026666667,0.019607843,0.02,-0.037037037,0.038461538,-0.034334764,0.075384615,-0.035087719,0.055555556,-0.107692308,0.181818182
-0.035272837,-0.026041667,0.015625,0,-0.054338037,0.024923077,-0.022058824,0.079365079,-0.028985507,0.037593985,0,0.014925373
-0.015151515,-0.020512821,0.015151515,0.015384615,-0.029411765,0.014925373,-0.014492754,0.045454545,-0.014084507,0.044117647,-0.014084507,0.014285714
-0.033826638,0.132020423,0.028571429,-0.004376368,-0.054878049,0.051282051,-0.080340265,0.137634409,-0.143094842,0.235354573,-0.042993631,0.219417476
-0.023041475,0.057127883,0.0592,-0.017295597,-0.087209302,0.039274924,-0.053133515,0.168789809,-0.04041721,0.103597122,-0.019607843,0.039402174
-0.061403509,0.313395639,0.006622517,0.128971963,-0.047250194,0.061677632,-0.051724138,0.178861789,-0.039677202,0.081454545,-0.096142433,0.179971989
-0.08599995,0.04795762,0.034026418,0.157549171,-0.060810853,0.014625321,-0.040167322,0.146282974,-0.038815526,0.08936351,-0.068416828,0.046627769
-0.054393305,-0.007374631,0.012552301,0.057522124,-0.044354839,0.024793388,-0.012,0.054852321,-0.019762846,0.024291498,0,0.040322581
-0.01793722,0.063926941,0.070422535,-0.02739726,-0.065217391,0.00877193,-0.1886121,0.306976744,-0.063333333,0.315789474,-0.072254335,0.231316726
0,-0.066371681,0.065420561,-0.053097345,-0.038961039,0.013157895,-0.036885246,0.099099099,-0.011904762,0.072340426,-0.026515152,0.060240964
