,0,1
0,470954.03,469912.89873682876
1,380392.04,379810.36623553745
2,267948.13,268493.2234307291
3,240956.87,241028.2188282362
4,308765.96,308725.36312644853
5,962698.68,959818.3879929747
6,578782.46,581122.3451013584
7,720457.35,721305.4551117949
8,469718.84,468191.66081412364
9,323539.4,323512.1416854247
10,1167876.96,1169374.811341152
11,324587.74,325163.000760052
12,100472.72,100618.40283648967
13,457008.24,455817.47734418104
14,178401.55,177403.83064851933
15,375525.23,374659.5755792953
16,154844.05,154774.43231701507
17,202669.95,200926.38569835701
18,291195.67,289723.7833223712
19,166262.94,166653.76113410317
20,1132653.36,1148141.5206452818
21,601114.71,600749.1459482184
22,218874.01,219473.9302351939
23,483234.9,481959.31410234456
24,766089.92,766138.5949740511
25,309649.32,310622.164527116
26,477797.91,477887.8591541874
27,719900.55,721967.5288796113
28,479616.26,478464.0528465125
29,1103386.48,1106293.714648949
30,696299.94,696831.2080850494
31,367844.25,367381.08591815596
32,402618.7,401225.7753892167
33,449583.76,449616.24613064993
34,370688.77,369272.5356881318
35,357877.37,359521.5998253304
36,393216.56,395547.83502915106
37,676749.4,681237.3843813462
38,338520.86,340793.7406250688
39,348696.75,349926.63831939094
40,371751.81,375694.44766224717
41,567210.44,567959.5754147026
42,1126885.4,1125160.5304320678
43,281557.59,281107.76894183795
44,493752.83,493160.6833172706
45,299317.58,289417.6046436421
46,283749.31,285318.54035823874
47,584825.25,584020.3794701883
48,320908.78,319081.4740715248
49,343713.0,344047.32515685196
50,724653.64,717108.168998384
51,295844.56,298208.71764005715
52,488163.64,488271.56491766404
53,272132.9,269895.3050266091
54,418163.99,418493.759634661
55,491788.58,490309.6745264424
56,436229.37,436138.15925340063
57,226357.83,225365.6072387395
58,447712.44,447825.98216743587
59,886163.74,885311.7702852993
60,650503.86,652031.3599485799
61,608977.92,610369.0598194562
62,423835.17,422545.54447665525
63,207556.31,205733.68891439037
64,596451.9,597517.026295864
65,475631.7,474597.9973336619
66,457551.1,456597.09693114477
67,141994.3,142521.42043841045
68,359165.34,357778.6842791215
69,722625.05,724419.4674478206
70,944384.95,944503.0514639715
71,693645.77,695795.4153176579
72,497859.63,498980.95747666655
73,499034.41,498195.3324232023
74,589238.26,586709.7469614476
75,549016.17,550663.6838498162
76,325466.04,327076.4019624833
77,516930.88,517482.889092491
78,514585.04,516428.40942612477
79,146013.9,146417.92485749652
80,319723.13,320258.36773242813
81,282841.21,283850.4490304736
82,640375.96,589018.3400111928
83,1021237.45,1019665.9464419552
84,1120585.76,1124655.9186328107
85,434110.2,430086.5227032141
86,630903.71,635348.401437738
87,825099.03,825765.0144660878
88,396004.14,393664.88461014535
89,932779.43,930552.954036373
90,282282.58,282523.32845950796
91,388498.47,386570.1202117484
92,1224078.13,1223648.7728202008
93,348260.81,348437.9908460189
