,0,1
0,340041.98,341251.7980539931
1,1121819.82,1117601.9799007573
2,355136.05,358163.9688193066
3,157208.85,157196.29105459136
4,613518.87,611538.3535577079
5,456263.94,455551.241698487
6,518491.85,519491.86837095313
7,144954.81,145260.41738776583
8,762028.8,761145.7890264945
9,1274626.1,1277806.0636810963
10,446305.37,446107.8047362305
11,698430.56,697580.1442220134
12,453473.41,454205.61202414264
13,391661.64,391360.1468866485
14,460755.01,461355.4631217518
15,947721.25,948237.4807796043
16,662306.83,665919.9524087069
17,540145.39,541107.6277545069
18,370294.73,369186.3132885272
19,353135.63,352848.2142688614
20,934052.32,926034.9238073096
21,557310.03,556732.9724042265
22,211838.37,211224.05742905306
23,273425.73,275436.6133361409
24,189059.31,189071.18820259869
25,145570.42,144033.45639682363
26,995903.03,996411.0274827442
27,241845.18,240156.43385013856
28,344816.88,344641.6310464407
29,470199.76,472913.2411412905
30,974617.0,973855.0608998627
31,630437.52,630488.5751156906
32,251613.91,247215.71326669358
33,369355.16,366717.94518681534
34,260141.26,261521.11994507676
35,372755.58,373677.1697052174
36,477027.95,478055.11538007914
37,820265.1,819662.1858798777
38,1009634.24,1004392.007037738
39,630405.1,632792.2166799643
40,368812.82,369954.74145817664
41,232571.73,233432.8554592096
42,1206228.83,1207859.6922148755
43,325629.14,325197.81516506907
44,188123.4,188593.73622103664
45,690951.48,685676.7283948445
46,1191998.08,1203381.3525947267
47,348260.81,348784.2662842607
48,281832.37,281720.8088109132
49,162006.31,162045.8011246813
50,176775.31,178572.86540088744
51,198239.09,200271.41414656374
52,715770.17,713563.4631794188
53,543078.95,544776.2661367045
54,1052889.58,1053242.7693351363
55,412741.22,414264.55673611176
56,564603.03,567335.3851212802
57,1128762.04,1127876.6460983404
58,201086.05,201623.59633980435
59,294744.88,295514.4298713695
60,388251.1,388877.6023388064
61,208512.55,210017.89821001032
62,461309.06,461065.7354964955
63,354597.61,352600.2094925167
64,697083.65,699100.6528372859
65,407286.12,405759.6724945743
66,711696.04,710898.9587615563
67,562527.08,564723.1931471402
68,366639.36,366662.9605114629
69,839602.47,839207.7061713233
70,906847.17,902020.2681649564
71,453275.98,455946.05532216595
72,220993.86,216951.45536533103
73,426000.57,429527.6165231349
74,587474.48,585996.2871254572
75,851282.88,858721.9141716784
76,282274.46,284122.5619869225
77,776544.11,775458.2902678195
78,509032.99,507840.7015280203
79,1000530.66,1001620.5284590021
80,613405.71,612694.3978478158
81,505559.88,506655.9280203951
82,189518.06,189512.060426987
83,260525.55,260326.92577799055
84,378012.52,376001.7463363897
85,249542.16,248745.34252370993
86,303136.27,304759.9265022468
87,1167595.26,1160717.5905101718
88,589618.66,588207.6350771951
89,880829.0,885508.7020329854
90,477756.29,475063.9393646588
91,427512.09,428799.8820536401
92,535584.74,536507.7557923038
93,568086.76,565309.123483543
94,967711.85,971987.9207855669
95,608687.85,611317.2109378693
96,199559.09,200017.29490129178
97,527720.07,526013.6620350109
98,897079.78,899323.0585270957
99,535030.09,533950.4431759996
100,129765.88,129702.42363077612
101,664669.06,665696.819699285
102,213275.53,214911.29212322895
103,444881.84,447223.5247999293
104,615667.31,616805.9340757248
105,205594.17,207189.02641358745
106,410099.38,410467.84271915874
107,1652745.43,1655177.7875906872
108,470661.15,472140.0091073775
109,393450.9,394117.6241872904
110,429405.53,431041.8343230833
111,480466.41,480673.8728459374
112,972237.38,982131.2033100383
113,240183.78,239735.03330279666
114,1205791.09,1206591.4365291237
115,277673.1,277024.89370598434
116,291444.22,290777.5523610932
117,773411.93,771311.1105565211
118,383088.31,381800.65248336026
119,478331.97,475550.5863871549
120,870577.37,872907.7458883367
121,819091.81,818412.8720798515
122,674419.24,676560.6973280191
123,322377.82,322220.5263075259
124,226878.65,224805.14297108288
125,1032962.25,1033746.3280716211
126,291101.04,290984.8247352842
127,968270.26,968293.4998323506
128,600632.69,601116.2244725716
129,549016.17,550896.1935204106
130,636376.49,635227.860045055
131,616018.98,614733.865139779
132,275787.3,276193.58712919534
133,338859.39,337010.6573764151
134,1451130.77,1455964.6787985484
135,659170.26,661803.5105146047
136,215102.58,216897.26620280812
137,225133.76,227189.48281567538
138,330852.36,327370.5328955146
139,557824.92,557344.125687959
140,439367.04,438638.9652225337
141,206215.87,208294.3666795546
142,775992.99,778221.2433592051
143,239403.49,237317.69480853266
144,954347.95,950903.5441930891
145,359437.59,358841.2962566097
146,506532.79,509033.80521291564
147,894913.76,891641.6021913846
148,1116501.23,1110023.5228693346
149,393681.55,393762.72887956747
150,673522.29,670967.4195317052
151,458983.09,457964.86809986574
152,534058.05,531964.7884339608
153,518718.69,521427.8299477714
154,731149.96,727190.0203139327
155,327856.47,328370.87878162495
156,1254720.44,1248674.512439764
157,195968.58,196057.43937669092
158,608602.73,612637.1809578057
159,804526.68,802189.5938679735
160,364336.74,366106.11562339735
161,185501.26,187518.07768951773
162,658700.89,654261.132138524
163,278096.95,278090.99056539603
164,759874.21,758151.1474426076
165,828973.17,828397.0389656831
166,955891.92,954554.7615525032
167,258949.52,259183.3602822275
168,942962.0,940893.6349207002
169,791955.08,793028.3095879827
170,282311.81,282238.45658121444
171,591269.96,592206.3933452483
172,747331.12,745191.5519601171
173,316401.67,314701.1068111751
174,634884.38,633717.432238801
175,583802.63,583091.9359193715
176,104984.76,105095.08533205978
177,649043.24,648629.6563801649
178,1150194.01,1153019.9937252486
179,375187.34,376490.54490659136
180,717134.31,713968.4064233826
181,500082.3,500132.96475198993
182,217466.25,217400.57987567026
183,267628.13,269146.05967958283
184,375158.88,375168.3294839266
185,302166.12,301164.6156930808
186,193196.76,191801.14170930564
187,557057.32,560547.4426820193
188,785308.36,786922.3177478472
189,116923.88,115746.36939240037
190,566393.86,571491.6976822582
191,125565.57,127237.34608052333
192,368930.59,365755.0671482298
193,479954.36,480303.1304986372
194,659594.78,660624.5708342914
195,211936.65,214031.24776783359
196,436141.53,436155.962524747
197,338258.59,337794.192147752
198,497551.99,496678.6133194156
199,335707.72,335041.4462703606
200,410154.09,410115.94655825756
201,211393.51,208801.48389011546
202,783688.1,780922.7407617437
203,319604.58,318558.9403338957
204,277016.52,277902.92462415935
205,518896.13,518450.3717021622
206,379023.49,382222.65048122767
207,127228.12,126540.04144002346
208,723120.96,722285.510318827
209,729489.93,731705.0724703673
210,1171693.72,1177352.5069579962
211,651622.13,652329.137131084
212,429024.43,431937.9320306466
213,1697562.33,1693204.4106467953
214,808107.28,807431.8341307546
215,446168.76,445613.2621279319
216,404731.29,404427.80022110685
217,543587.05,541085.9461249769
218,952452.85,949553.6677738896
219,580212.37,581472.9918952527
220,642399.38,640771.6011143436
221,572756.82,566551.3589510529
222,378933.42,377892.3264637075
223,824954.18,822782.1720337608
224,877654.0,876141.4203462846
225,384855.97,383382.40355024487
226,294730.28,296992.8523637011
227,474578.9,473752.8517871946
228,381001.04,381337.47877006244
229,520323.01,520617.5722104955
230,437152.22,434147.9818465983
231,789829.68,792488.0917261518
232,773600.35,776948.0011594634
233,630823.27,634561.4637235216
234,799282.51,798606.8018551524
235,434016.97,433326.9747387618
236,223759.21,222299.7739383818
237,1447388.34,1451306.662202057
238,200114.94,201426.03904696586
239,437021.07,437865.2787246562
240,418158.67,415356.1251078709
241,542060.5,542963.4188883051
242,408606.63,410206.7369472091
243,334592.91,335697.28895356716
244,430366.73,434246.7815698553
245,309282.12,309203.5656918457
246,1115257.6,1117047.054486324
247,775085.2,772305.525913392
248,302392.74,301009.8624789454
249,584611.55,586211.0744192103
250,650542.29,651865.334746922
251,427456.0,427753.46888020856
252,325162.02,326858.54772035574
253,554974.81,559083.1162618903
254,598800.05,600280.1550535705
255,1202963.7,1197844.507472707
256,303133.1,303745.0008255539
257,630253.07,626489.138087582
258,1080758.19,1082099.270817962
259,673625.46,676273.9946333581
260,699114.22,697687.707460205
261,297991.3,297279.54895906546
262,308170.75,306500.9131693003
263,665886.74,665761.0277855401
264,271803.12,271108.41424750414
265,1033564.93,1031348.9725148896
266,1037783.58,1041645.1277103239
267,295430.99,296431.71024913987
268,581076.86,581276.1219794194
269,266797.98,269612.924466738
270,635454.07,636673.6207744926
271,166122.62,165224.48536161898
272,135051.24,134472.78065043507
273,378717.17,379556.23272962164
274,345372.16,342694.5851728739
275,281861.07,281969.3224391158
276,756144.93,762050.5775733554
277,1360304.35,1356712.6958061857
278,804914.07,803715.4283466524
279,503966.6,503198.47658573056
280,360595.03,359489.502066424
281,494202.24,495543.97021322814
282,1192774.24,1192918.631546734
283,371497.71,370955.45558213757
284,352187.69,354271.9448823491
285,204381.94,205334.20885155813
286,206063.01,205059.21293498285
287,480986.18,483166.3998796644
288,557923.55,558623.5023998386
289,574599.17,574532.8113488863
290,650830.23,652392.8147732974
291,339000.51,338686.22858549864
292,581260.89,581759.4536379937
293,379711.19,380639.3779943621
294,1095036.16,1092447.9321914348
295,411662.3,404089.98486451793
296,970184.09,967389.9303106886
297,355738.03,355289.4346616266
298,716416.2,712445.0876388345
299,624611.6,624456.3988856034
300,91512.77,91541.0684923986
301,447678.1,447064.9820908193
302,233692.73,232761.48014306626
303,1332992.29,1337923.6835540654
304,447712.44,448659.0972431111
305,662531.16,658719.8665072868
306,771434.82,776767.6724311971
307,1088593.54,1091897.7601577886
308,262445.37,262841.4679524867
309,234123.18,234710.80685008728
310,819387.33,820123.8021568732
311,593279.21,593466.1475710854
312,700600.67,701807.7248049182
313,660817.97,660597.7947281902
314,230721.72,229819.98393494711
315,820198.06,822452.544886055
316,862961.94,864290.6639915803
317,302833.09,301564.0626398054
318,445568.09,443181.1559919348
319,177988.46,176321.88023034736
320,369620.17,368445.76072244084
321,531628.74,529036.8627864575
322,460439.75,459885.1178178751
323,700686.39,704779.1056770991
324,410290.04,412864.4666095
325,230257.2,229208.808397735
326,645726.14,647072.1310331976
327,416678.86,416493.3079133772
328,878907.75,881796.2674872236
329,267675.84,268913.9972987242
330,343847.91,344063.1079620432
331,724180.45,717778.9434920088
332,241442.52,242899.97091626015
333,802950.88,802479.7804763579
334,554093.94,551396.6596665547
335,563194.21,563304.342287688
336,362506.7,362620.23367295193
337,593607.81,591892.7899942518
338,246873.66,247020.84103593684
339,798079.16,799878.9529438525
340,1000203.93,1000545.3755026137
341,277654.26,280154.0485469171
342,972306.07,978228.2935716448
343,459228.62,460585.42670670303
344,456011.33,455044.53319922474
345,505014.87,505062.47522806964
346,193692.6,193672.10867096955
347,505770.02,503340.75607357046
