,storeid,year,month,pred
0,60002052,2018,9,226008.666804782
1,22052019,2018,9,200855.49803035602
2,40012080,2018,9,583999.5947561102
3,20002121,2018,9,378207.6644283569
4,11002169,2018,9,170374.54782398755
5,20002124,2018,9,303192.6379725867
6,51002041,2018,9,665148.7243842502
7,73002038,2018,9,183580.85030350555
8,20002120,2018,9,211815.41703352774
9,11002171,2018,9,348665.26963598153
10,11002157,2018,9,113398.39117092593
11,14002036,2018,9,111214.42989805469
12,21002046,2018,9,255418.01376914058
13,64002014,2018,9,422214.4373885251
14,41002017,2018,9,273687.59850704856
15,20002125,2018,9,348541.5978625483
16,51002042,2018,9,349233.1358992477
17,40022020,2018,9,378900.4649719525
18,62002009,2018,9,220253.30229476152
19,40002055,2018,9,689842.3198067372
20,11002167,2018,9,914018.1106305154
21,40012079,2018,9,359258.9275016278
22,64002015,2018,9,393276.522188651
23,11002165,2018,9,350142.364459352
24,50002083,2018,9,255499.10148911073
25,52002026,2018,9,308983.68398122233
