,ds,y
189,2006-10-03,9.379119000000001
190,2006-10-04,9.543709
191,2006-10-05,9.474072999999999
192,2006-10-06,9.396842
193,2006-10-09,9.448754
194,2006-10-10,9.344934
195,2006-10-11,9.271502
196,2006-10-12,9.528516
197,2006-10-13,9.498128999999999
198,2006-10-16,9.54624
199,2006-10-17,9.405706
200,2006-10-18,9.43609
201,2006-10-19,10.000765
202,2006-10-20,10.122305
203,2006-10-23,10.313486
204,2006-10-24,10.261576
205,2006-10-25,10.341338
206,2006-10-26,10.40591
207,2006-10-27,10.180548
208,2006-10-30,10.181811
209,2006-10-31,10.265374000000001
210,2006-11-01,10.022286
211,2006-11-02,9.999496
212,2006-11-03,9.912141
213,2006-11-06,10.091921000000001
214,2006-11-07,10.193208
215,2006-11-08,10.438825
216,2006-11-09,10.551507
217,2006-11-10,10.523653
218,2006-11-13,10.679382
219,2006-11-14,10.761678
220,2006-11-15,10.641399
221,2006-11-16,10.838909
222,2006-11-17,10.869291
223,2006-11-20,10.947789
224,2006-11-21,11.217464999999999
225,2006-11-22,11.433964999999999
226,2006-11-24,11.601088
227,2006-11-27,11.336475
228,2006-11-28,11.623877
229,2006-11-29,11.622611000000001
230,2006-11-30,11.604886
231,2006-12-01,11.561838
232,2006-12-04,11.536518
233,2006-12-05,11.555511
234,2006-12-06,11.373192999999999
235,2006-12-07,11.019958
236,2006-12-08,11.174418
237,2006-12-11,11.236458
238,2006-12-12,10.90601
239,2006-12-13,11.274439
240,2006-12-14,11.211136
241,2006-12-15,11.106052
242,2006-12-18,10.821183999999999
243,2006-12-19,10.927535
244,2006-12-20,10.731291
245,2006-12-21,10.495802000000001
246,2006-12-22,10.407175
247,2006-12-26,10.319818
248,2006-12-27,10.321083
249,2006-12-28,10.238783999999999
250,2006-12-29,10.741422
251,2007-01-03,10.609749
252,2007-01-04,10.845238
253,2007-01-05,10.768006
254,2007-01-08,10.821183999999999
255,2007-01-09,11.7201
256,2007-01-10,12.280973
257,2007-01-11,12.129044
258,2007-01-12,11.979647
