,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
2589,002473,*ST圣莱,-5.063,6.0,6.33,6.41,6.0,6.32,555411.0,0.34713000000000005,3399734.0,-16.873,3.488,96000.0,96000.0
2635,002427,*ST尤夫,-5.042,6.78,6.92,6.98,6.78,7.14,13265504.0,3.44867,90357683.0,8.268,1.483,269948.858124,260796.275772
2756,002306,*ST云网,-4.891,3.5,3.68,3.75,3.5,3.68,4309100.0,0.54174,15582751.0,-175.0,309.735,280000.0,278397.9667
2799,002263,*ST东南,0.0,0.0,0.0,0.0,0.0,2.96,0.0,0.0,0.0,-9.867,2.5700000000000003,555994.5896,555988.4328
2802,002260,*ST德奥,-5.046,7.15,7.15,7.15,7.15,7.53,18500.0,0.006980000000000001,132275.0,-3.686,-10.095,189618.0,189618.0
2854,002207,*ST准油,-5.085,5.04,5.24,5.24,5.04,5.31,2554900.0,1.07673,12990956.0,126.0,3.594,120545.398512,119590.245432
2867,002194,*ST凡谷,-5.042,4.52,4.71,4.73,4.52,4.76,3305801.0,0.62338,15091760.0,-4.967,1.771,255230.714344,239695.854928
2873,002188,*ST巴士,-4.961,3.64,3.78,3.79,3.64,3.83,2478400.0,1.34747,9062288.0,-0.533,-14.869,107608.418736,66950.607724
2939,002122,*ST天马,-5.085,2.24,2.24,2.24,2.24,2.36,359600.0,0.03037,805504.0,20.364,0.5710000000000001,266112.0,265272.1456
2991,002070,*ST众和,0.0,0.0,0.0,0.0,0.0,3.92,0.0,0.0,0.0,-2.394,-4.264,249021.197152,222081.409536
3043,002018,*ST华信,-5.0,1.52,1.55,1.56,1.52,1.6,15088133.0,0.66239,23092482.0,7.6,1.014,346229.768144,346229.768144
3069,000995,*ST皇台,-5.018,5.3,5.53,5.53,5.3,5.58,992300.0,0.5593400000000001,5302719.0,-5.0,-6.036,94026.24,94024.8885
3077,000982,*ST 中绒,-4.737,1.81,1.87,1.87,1.81,1.9,7481741.0,0.41449,13625795.0,68.045,1.885,326712.833499,326712.833499
3086,000972,*ST中基,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,73.0,3.229,281518.506335,281518.506335
3102,000953,ST河化,-4.384,5.67,5.92,5.92,5.63,5.93,2220911.0,0.75526,12599086.0,56.587,-103.656,166731.700779,166731.700779
3105,000950,*ST建峰,0.0,0.0,0.0,0.0,0.0,10.72,0.0,0.0,0.0,16.75,2.7119999999999997,1852613.994112,339293.186336
3123,000922,*ST佳电,-4.985,6.29,6.4,6.56,6.29,6.62,2221303.0,0.45771000000000006,14150034.0,28.384,2.13,308142.934762,305255.536051
3131,000912,*ST天化,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,0.0,-2.673,-3.114,397215.0,397215.0
3146,000893,*ST东凌,-4.91,3.68,3.83,3.87,3.68,3.87,2725100.0,0.6798200000000001,10122228.0,-1.167,1.464,278540.404096,147514.4376
3193,000816,*ST慧业,-4.938,1.54,1.6,1.6,1.54,1.62,18488100.0,1.38355,28805350.0,-8.105,0.72,218495.710972,205786.730688
3202,000803,*ST金宇,-3.202,15.72,16.2,16.4,15.56,16.24,326400.0,0.25554000000000004,5200481.0,92.362,25.657,200792.963796,200792.963796
3236,000755,*ST三维,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,24.768,4.017,262788.18776,262788.18776
3243,000737,*ST南风,-4.87,2.93,3.02,3.08,2.93,3.08,2064300.0,0.37618,6134728.0,-3.823,-5.441,160786.68,160786.68
3257,000720,*ST新能,-5.076,3.74,3.9,3.9,3.74,3.94,5577700.0,0.64597,21056553.0,-8.386,2.852,482329.459788,322934.04
3269,000707,*ST双环,-5.039,2.45,2.48,2.58,2.45,2.58,4665922.0,1.00527,11719958.0,-1.524,4.26,113715.712425,113715.344925
3278,000693,*ST华泽,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,-4.89,2.443,179895.826513,91804.554981
3309,000655,*ST金岭,-5.099,3.35,3.49,3.49,3.35,3.53,4457000.0,0.74865,15046250.0,-6.309,0.863,199438.97705,199438.97705
3322,000629,*ST钒钛,0.0,0.0,0.0,0.0,0.0,3.07,0.0,0.0,0.0,30.547,5.523,2637052.084014,1463513.983175
3358,000585,*ST东电,-5.213,2.0,2.09,2.09,2.0,2.11,2893200.0,0.47475000000000006,5832624.0,-4.444,-8.725999999999999,174674.0,121884.1956
3433,000422,*ST宜化,-5.023,2.08,2.15,2.19,2.08,2.19,5751300.0,0.6405900000000001,12173847.0,-0.362,-2.421,186756.276096,186745.100672
3448,000403,ST生化,-2.336,29.69,30.0,30.08,29.55,30.4,1224447.0,0.46155,36560142.0,211.317,13.484,809282.891431,787642.073106
3526,900930,*ST沪普B,0.0,0.402,0.0,0.0,0.0,0.402,0.0,0.0,0.0,-0.439,0.445,15365.4585474,5016.96
3527,601798,*ST蓝科,-5.1,4.28,4.45,4.45,4.28,4.51,1633999.0,0.46089,7055686.0,-17.398,0.882,151738.068744,151738.068744
3528,601558,ST锐电,-5.217,1.09,1.13,1.13,1.09,1.15,44774200.0,0.7845200000000001,49230970.0,54.5,5.377,657335.4,622084.799891
3529,601268,*ST二重,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3532,600896,*ST海投,0.0,5.12,0.0,0.0,0.0,5.12,0.0,0.0,0.0,-6.4,2.67,444978.7264,295489.675776
3533,600877,ST嘉陵,-5.051,4.7,4.81,4.92,4.7,4.95,4249775.0,0.6183500000000001,20270108.0,10.711,-28.923000000000002,323022.5588,323022.5588
3534,600871,*ST油服,-4.926,1.93,2.01,2.02,1.93,2.03,18647701.0,0.15485000000000002,36612985.0,-2.58,6.472,3663977.626369,2324233.572035
3535,600870,*ST厦华,-4.963,3.83,4.03,4.03,3.83,4.03,2702500.0,0.51653,10426179.0,-162.979,2735.714,200385.471695,200385.471695
3536,600817,ST宏盛,-5.013,7.2,7.24,7.47,7.2,7.58,331800.0,0.21313000000000001,2413942.0,-720.0,11.944,115855.25904,112088.93328
3537,600807,*ST天业,-4.87,2.93,2.93,3.08,2.93,3.08,54216995.0,6.88891,159437987.0,-11.269,1.6400000000000001,259197.976183,230596.409952
3540,600778,*ST友好,-5.081,4.67,4.89,4.9,4.67,4.92,2714400.0,0.87255,12870078.0,-2.9939999999999998,1.9340000000000002,145466.461384,145277.494504
3541,600767,ST运盛,-4.927,5.21,5.4,5.4,5.21,5.48,1405700.0,0.41234000000000004,7396046.0,41.024,6.83,177666.304822,177614.204822
3542,600749,*ST藏旅,5.029,10.86,10.85,10.86,10.6,10.34,2314068.0,1.22348,25083813.0,-25.944,2.448,246484.551462,205403.793066
3543,600747,ST大控,-4.938,1.54,1.58,1.58,1.54,1.62,8415900.0,0.7907200000000001,13013225.0,73.333,1.137,225506.573446,163906.573446
3544,600733,SST前锋,0.0,52.69,0.0,0.0,0.0,52.69,0.0,0.0,0.0,1351.026,54.709,1041080.634,398336.4
3545,600732,ST新梅,-4.909,5.23,5.3,5.67,5.23,5.5,2680600.0,0.60052,14214215.0,38.287,5.209,233458.35084,233458.35084
3546,600725,ST云维,-4.878,2.34,2.41,2.42,2.34,2.46,3375858.0,0.27391000000000004,8002174.0,354.545,10.299,288397.98,288397.98
3550,600701,*ST工新,0.0,9.22,0.0,0.0,0.0,9.22,0.0,0.0,0.0,53.326,2.262,954025.870996,715360.007426
3551,600696,ST岩石,-5.097,3.91,4.12,4.12,3.91,4.12,1457000.0,0.42782000000000003,5778940.0,78.2,4.697,133161.13005,133161.13005
3553,600680,*ST上普,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,-8.395,8.514,293931.284153,197960.084153
3555,600654,ST中安,-5.147,2.58,2.62,2.68,2.58,2.72,8235600.0,1.09075,21429762.0,-4.526,1.576,331019.415936,194801.133732
3557,600634,*ST富控,-5.102,2.79,2.83,2.83,2.79,2.94,6551600.0,1.13796,18308346.0,34.875,0.795,160629.250599,160629.250599
3558,600608,ST沪科,-4.965,5.36,5.62,5.62,5.36,5.64,439454.0,0.13803,2369002.0,28.211,30.541,176269.732376,170647.092376
3559,600556,ST慧球,-5.069,4.12,4.2,4.29,4.12,4.34,1315100.0,0.33311,5473916.0,412.0,21.799,162655.007696,162655.007696
3560,600539,*ST狮头,-4.993,6.85,7.08,7.17,6.85,7.21,3599100.0,1.5648300000000002,24746329.0,-31.136,3.738,157550.0,157550.0
3562,600423,*ST柳化,0.0,4.83,0.0,0.0,0.0,4.83,0.0,0.0,0.0,32.2,39.205,192884.848779,192884.848779
3563,600421,ST仰帆,-5.074,5.8,6.05,6.19,5.8,6.11,602900.0,0.30823,3518395.0,-145.0,255.507,113448.0,113448.0
3564,600408,*ST安泰,-4.878,1.56,1.6,1.63,1.56,1.64,8221700.0,0.81662,13030880.0,-5.571,2.168,157060.8,157060.8
3565,600401,*ST海润,0.0,0.87,0.0,0.0,0.0,0.87,0.0,0.0,0.0,-1.673,4.157,411069.358224,411069.358224
3566,600397,*ST安煤,-4.839,1.77,1.82,1.83,1.77,1.86,5654100.0,0.5711400000000001,10130023.0,-2.539,2.165,175222.899114,175222.899114
