,code,mbrg2018_1,nprg2018_1,nav2018_1,targ2018_1,epsg2018_1,seg2018_1,mbrg2017_2,nprg2017_2,nav2017_2,targ2017_2,epsg2017_2,seg2017_2,mbrg2017_3,nprg2017_3,nav2017_3,targ2017_3,epsg2017_3,seg2017_3,mbrg2017_4,nprg2017_4,nav2017_4,targ2017_4,epsg2017_4,seg2017_4,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
1541,002109,8.3573,12.8417,6.912999999999999,-7.2708,12.931,6.912999999999999,125.5824,,228.0038,144.0403,-209.447,230.3111,118.6506,,239.55700000000002,157.8414,-192.8571,242.1147,-7.0492,632.7734,6.8336,-7.13,635.25,6.8336,2.778,3.7,3.63,3.73,3.56,3.6,4427142.0,0.8123400000000001,16036481.0,12.581,0.763,389589.57193,201645.72058
1545,601018,33.2437,12.825,7.8302,6.7054,20.0,5.2545,-4.4826,16.5533,9.7749,23.2034,11.1111,8.829,3.7402,22.3051,7.4188,5.4332,23.0769,4.4791,11.3786,14.7882,7.7581,6.9787,17.6471,5.1473,0.703,4.3,4.21,4.3,4.19,4.27,7158804.0,0.05593000000000001,30508962.0,21.5,1.525,5664324.55787,5504000.0
1546,601139,25.5074,12.8138,9.3284,7.3706,10.0,9.0725,22.6378,6.1065,8.0777,7.3754,4.0,8.4855,28.6847,6.7587,5.9676,10.8368,5.8824,6.3297,29.9665,15.8827,9.0686,8.9191,14.2857,9.1033,2.11,7.26,7.16,7.28,7.12,7.11,2567996.0,0.11757000000000001,18519500.0,18.15,1.857,1607430.945186,1585698.861186
1547,300338,174.9557,12.8098,5.3087,15.4824,32.8841,5.2444,125.8471,1205.904,173.5547,191.3109,831.5,173.2339,184.2106,1731.615,172.0833,193.75900000000001,1183.5766,172.3098,187.6704,4201.6028,180.3039,212.6854,1994.0171,179.2122,-2.202,13.77,13.99,14.09,12.67,14.08,2187914.0,1.16306,29575658.0,28.102,2.199,467656.315884,259038.090801
1548,002841,64.3216,12.6497,29.1224,47.5299,14.2857,29.0579,10.0126,-4.4169,133.8911,74.2123,-12.3596,133.7333,23.1958,0.1996,118.8239,83.0639,-9.1463,118.1453,31.9214,-7.0254,101.964,73.1489,-15.6863,101.4487,1.27,55.03,54.36,55.18,53.53,54.34,650257.0,1.00348,35590901.0,31.994,8.377,3581682.58,356593.73964
1549,600908,,12.6267,13.8249,8.132,7.6923,13.9861,,11.1177,15.5736,6.6137,0.0,15.8709,,10.4096,4.3691,9.1087,0.0,4.5345,,12.3809,5.4013,10.0233,3.8462,5.4862,2.116,5.79,5.67,5.82,5.67,5.67,5777144.0,0.71825,33196788.0,10.722,1.12,1070058.477306,465707.427822
1550,300512,11.7008,12.5908,5.685,4.6132,12.8035,5.1312,6.4058,13.6838,4.1376,12.0052,-55.5556,4.1376,5.8511,16.8546,4.7402,6.7077,0.6216,4.7402,7.8193,15.357999999999999,4.9307,3.1719999999999997,-1.4286,4.9307,2.908,16.28,15.9,16.47,15.85,15.82,1337554.0,1.71867,21545212.0,23.594,3.041,439560.0,126698.971388
1551,300536,40.6268,12.5762,5.9566,24.8341,-37.3853,5.9566,12.4124,5.7619,72.7042,63.867,-22.8571,72.7042,12.3423,7.3022,9.1435,27.7954,-54.4656,9.1435,11.5012,1.9018,8.5317,24.930999999999997,-53.7313,8.5317,2.581,10.73,10.36,10.85,10.3,10.46,1742140.0,2.8509200000000003,18407507.0,34.613,3.448,179827.523987,65568.797087
1552,601828,25.3618,12.5704,-4.8473,7.8308,,-2.8651,10.6305,-10.4228,-8.2099,5.1992,-11.1111,-7.6706,12.6359,-13.1384,-9.4206,4.9554,,-8.8177,16.1447,16.4579,10.0479,18.9847,20.2128,10.5588,2.471,15.76,15.3,15.83,15.28,15.38,9103323.0,2.88994,141862304.0,13.947,1.391,6207733.251888,496440.0
1553,603385,14.2313,12.5649,7.6062,-2.4074,14.2857,8.3336,26.3087,45.8661,48.2705,24.4268,15.1515,53.0356,25.9661,25.8068,,,-3.0769,,20.6689,7.6488,50.2207,23.2372,-14.1414,54.7823,1.687,11.45,11.18,11.57,10.81,11.26,2802955.0,1.06282,31541608.0,13.471,1.07,422958.92838,301967.331415
1554,600452,7.8713,12.5222,26.2433,9.2727,11.4286,26.2433,48.4542,48.4813,41.6884,67.9085,50.0,41.6884,36.6787,38.7141,33.0261,55.5153,38.2716,33.0261,23.7257,34.8191,27.2641,10.0504,35.2381,27.2641,-0.548,27.22,27.3,27.4,26.83,27.37,555037.0,0.34690000000000004,15074902.0,19.169,3.594,435520.0,435520.0
